id;code;region;mounth;name;type;year;value;currency;attribute
1;Account;website quantify;support navigate;Chilean reboot Dynamic;Track actuating deposit;Soap withdrawal;Metical Incredible;Union compressing;initiative Generic
2;Drive Australian;Business-focused;Rubber;aggregate Security Data;Wielkopolskie auxiliary;COM Implementation Awesome;homogeneous Crossroad;Chips De-engineered Tunnel;Intelligent
3;Checking Account Renminbi;Consultant online;project hacking efficient;mobile applications;lavender application grey;up;e-commerce Gorgeous;Brand;Plastic Cambridgeshire
4;National;Zjednoczone Games Balboa;transmit Incredible IB;Algieria Rustic;Taka;wireless Practical Solutions;International Square;Frozen Sausages;invoice
5;Security Colombian B2C;bypassing Gateway Virtual;index Account Concrete;Soft;deposit clear-thinking focus;Loan;Small Republika Engineer;Account portals Berkshire;Wooden Concrete
6;pixel Dollar;markets;adapter Keyboard Industrial;Buckinghamshire;application e-business Concrete;Agent Technician;orange;exuding copying;services Future
7;JBOD User-friendly bluetooth;Warmińsko-mazurskie Mouse;engage ROI Account;Cross-platform withdrawal primary;Product;Palladium Lesotho;Avon Podkarpackie clicks-and-mortar;Rubber aggregate indexing;Computer PCI
8;Producer;reinvent open-source Integrated;XML;IB;payment maximize;Colombian;indigo;Taka payment;back-end Liechtenstein Salomona
9;front-end Russian;AI Słowacja Stand-alone;Grocery US deliverables;quantifying;generation regional;Gloves radical;alarm;Marketing;plum Creative
10;Kujawsko-pomorskie throughput;algorithm;Unbranded Steel;Planner Singapur;Wooden regional;redundant Bolivar methodology;Credit system;Turnpike;Viaduct SCSI
